"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in natural sciences [211]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409209","1.3.3.16.1.1","819.77","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in applied sciences (except engineering) [212]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409221","1.3.3.17.1.1","565.23","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in applied sciences (except engineering) [212]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409221","1.3.3.17.1.1","547.15","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in applied sciences (except engineering) [212]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409221","1.3.3.17.1.1","702.36","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in applied sciences (except engineering) [212]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409221","1.3.3.17.1.1","707.17","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in applied sciences (except engineering) [212]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409221","1.3.3.17.1.1","695.01","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in applied sciences (except engineering) [212]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409221","1.3.3.17.1.1","741.67","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in engineering [213]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409233","1.3.3.18.1.1","952.42","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in engineering [213]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409233","1.3.3.18.1.1","933.24","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in engineering [213]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409233","1.3.3.18.1.1","978.45","","","","2"
